> m_xgb_fine <- train(
+   loan_status ~ ., 
+   data = data_xgb_pca_train,    #Usar sólo el 50% de los datos | 1er intento: data | 2do: data_xgb_train_lvl1 | 3er: data_xgb_pca_train
+   method = "xgbTree",
+   trControl = ctrl_xgb_fine,
+   tuneGrid = grid_xgb_fine,
+   metric = "Kappa",
+   verbosity = 0
+ )
> print(m_xgb_fine)
eXtreme Gradient Boosting 

22500 samples
   17 predictor
    2 classes: 'Rechazado', 'Aprobado' 

No pre-processing
Resampling: Cross-Validated (5 fold) 
Summary of sample sizes: 18000, 18000, 18000, 18000, 18000 
Resampling results across tuning parameters:

  eta   max_depth  gamma  colsample_bytree  min_child_weight  subsample  nrounds  Accuracy   Kappa    
  0.10  3          0.0    0.7               1                 0.9        150      0.9066222  0.7187442
  0.10  3          0.0    0.7               5                 0.8        100      0.9020444  0.7039023
  0.10  3          0.0    0.7               5                 0.8        150      0.9062222  0.7182968
  0.10  3          0.0    0.7               5                 0.9        100      0.9016889  0.7019969
  0.10  3          0.0    0.7               5                 0.9        150      0.9072000  0.7207894
  0.10  3          0.0    0.8               1                 0.8        100      0.9035111  0.7084812
  0.10  3          0.0    0.8               1                 0.8        150      0.9062667  0.7191137
  0.10  3          0.0    0.8               1                 0.9        100      0.9023111  0.7036953
  0.10  3          0.0    0.8               1                 0.9        150      0.9068000  0.7201171
  0.10  3          0.0    0.8               5                 0.8        100      0.9016889  0.7031163
  0.10  3          0.0    0.8               5                 0.8        150      0.9062222  0.7192965
  0.10  3          0.0    0.8               5                 0.9        100      0.9011556  0.7008229
  0.10  3          0.0    0.8               5                 0.9        150      0.9056889  0.7171033
  0.10  3          0.1    0.7               1                 0.8        100      0.9029333  0.7067141
  0.10  3          0.1    0.7               1                 0.8        150      0.9056000  0.7168304
  0.10  3          0.1    0.7               1                 0.9        100      0.9015111  0.7019276
  0.10  3          0.1    0.7               1                 0.9        150      0.9052889  0.7155632
  0.10  3          0.1    0.7               5                 0.8        100      0.9009333  0.6987694
  0.10  3          0.1    0.7               5                 0.8        150      0.9048889  0.7141918
  0.10  3          0.1    0.7               5                 0.9        100      0.9016000  0.7012300
  0.10  3          0.1    0.7               5                 0.9        150      0.9051556  0.7148303
  0.10  3          0.1    0.8               1                 0.8        100      0.9029778  0.7067852
  0.10  3          0.1    0.8               1                 0.8        150      0.9064444  0.7198099
  0.10  3          0.1    0.8               1                 0.9        100      0.9024889  0.7042187
  0.10  3          0.1    0.8               1                 0.9        150      0.9058222  0.7165980
  0.10  3          0.1    0.8               5                 0.8        100      0.9015556  0.7015362
  0.10  3          0.1    0.8               5                 0.8        150      0.9055111  0.7161718
  0.10  3          0.1    0.8               5                 0.9        100      0.9021778  0.7033914
  0.10  3          0.1    0.8               5                 0.9        150      0.9058222  0.7167512
  0.10  4          0.0    0.7               1                 0.8        100      0.9064000  0.7176937
  0.10  4          0.0    0.7               1                 0.8        150      0.9099111  0.7302471
  0.10  4          0.0    0.7               1                 0.9        100      0.9078222  0.7224419
  0.10  4          0.0    0.7               1                 0.9        150      0.9092000  0.7281888
  0.10  4          0.0    0.7               5                 0.8        100      0.9056889  0.7162359
  0.10  4          0.0    0.7               5                 0.8        150      0.9087556  0.7269207
  0.10  4          0.0    0.7               5                 0.9        100      0.9057778  0.7166001
  0.10  4          0.0    0.7               5                 0.9        150      0.9086667  0.7262620
  0.10  4          0.0    0.8               1                 0.8        100      0.9060000  0.7171374
  0.10  4          0.0    0.8               1                 0.8        150      0.9080000  0.7245956
  0.10  4          0.0    0.8               1                 0.9        100      0.9068000  0.7203525
  0.10  4          0.0    0.8               1                 0.9        150      0.9098222  0.7301166
  0.10  4          0.0    0.8               5                 0.8        100      0.9071556  0.7209842
  0.10  4          0.0    0.8               5                 0.8        150      0.9085778  0.7263052
  0.10  4          0.0    0.8               5                 0.9        100      0.9067556  0.7194268
 [ reached getOption("max.print") -- omitted 81 rows ]

Kappa was used to select the optimal model using the largest value.
The final values used for the model were nrounds = 150, max_depth = 4, eta = 0.1, gamma = 0.1, colsample_bytree = 0.8, min_child_weight =
 1 and subsample = 0.8.
> max(m_xgb_fine$results$Kappa)  #Mejor valor de Kappa alcanzado
[1] 0.7309819
>
